sa2_code,sa2_name,total_pop,pct_youth_18_34,median_age,median_weekly_income,median_weekly_rent,pct_students,rent_to_income_ratio
101021007,Braidwood,4343.0,0.1130554915956712,51.0,760.0,330.0,0.1549053356282272,0.4342105263157895
101021008,Karabar,8517.0,0.2089937771515791,38.0,975.0,350.0,0.2079610073111291,0.358974358974359
101021009,Queanbeyan,11342.0,0.2695291835655087,37.0,996.0,330.0,0.297752808988764,0.3313253012048193
101021010,Queanbeyan - East,5085.0,0.2823992133726647,36.0,1104.0,310.0,0.3166051660516605,0.2807971014492754
101021012,Queanbeyan West - Jerrabomberra,12744.0,0.1745919648462021,37.0,1357.0,430.0,0.2414974308783949,0.3168754605747974
101021610,Googong,6224.0,0.2453406169665809,31.0,1629.0,531.0,0.2025800286669851,0.3259668508287293
101021611,Queanbeyan Surrounds,16539.0,0.1477719330068323,42.0,1243.0,465.0,0.2004754358161648,0.3740949316170555
101031013,Bombala,2454.0,0.1377343113284433,49.0,704.0,200.0,0.1083086053412463,0.2840909090909091
101031014,Cooma,6761.0,0.1754178375979884,44.0,771.0,290.0,0.1747925311203319,0.3761348897535668
101031015,Cooma Surrounds,3472.0,0.1212557603686635,50.0,794.0,290.0,0.1189245087900724,0.3652392947103274
101031016,Jindabyne - Berridale,8035.0,0.2339763534536403,38.0,912.0,380.0,0.2006472491909385,0.4166666666666667
101041017,Batemans Bay,8581.0,0.1256263838713436,51.0,596.0,330.0,0.1449411764705882,0.5536912751677853
101041018,Batemans Bay - South,8938.0,0.1126650257328261,54.0,638.0,350.0,0.1487130600571973,0.54858934169279
101041019,Bega - Tathra,8872.0,0.1383002705139765,46.0,704.0,320.0,0.1511201629327902,0.4545454545454545
101041020,Bega-Eden Hinterland,9557.0,0.1169823166265564,51.0,603.0,265.0,0.1380155165373622,0.439469320066335
101041021,Broulee - Tomakin,3792.0,0.1094409282700421,52.0,738.0,360.0,0.1733193277310924,0.4878048780487805
101041022,Deua - Wadbilliga,43.0,0.0,59.0,462.0,0.0,0.625,0.0
101041023,Eden,3425.0,0.112992700729927,53.0,573.0,270.0,0.1167964404894327,0.4712041884816754
101041024,Eurobodalla Hinterland,3525.0,0.1160283687943262,53.0,639.0,300.0,0.1368186874304783,0.4694835680751174
101041025,Merimbula - Tura Beach,11513.0,0.1183879093198992,54.0,679.0,340.0,0.1610870421425758,0.5007363770250368
101041026,Moruya - Tuross Head,8600.0,0.1080232558139534,56.0,612.0,310.0,0.1385948026948989,0.5065359477124183
101041027,Narooma - Bermagui,9888.0,0.0932443365695792,59.0,579.0,290.0,0.1238051888939462,0.5008635578583766
101051539,Goulburn,24565.0,0.1957256258904946,40.0,749.0,320.0,0.1789872352363585,0.4272363150867824
101051540,Goulburn Surrounds,13839.0,0.1254425897824987,48.0,735.0,300.0,0.1451824625886059,0.4081632653061224
101051540,Goulburn Surrounds,13839.0,0.1254425897824987,48.0,735.0,300.0,0.1451824625886059,0.4081632653061224
101061541,Yass,6763.0,0.1589531273103652,42.0,867.0,340.0,0.1755567063697566,0.392156862745098
101061542,Yass Surrounds,12713.0,0.1267206796192873,43.0,1129.0,400.0,0.1916480238627889,0.354295837023915
101061542,Yass Surrounds,12713.0,0.1267206796192873,43.0,1129.0,400.0,0.1916480238627889,0.354295837023915
101061543,Young,11004.0,0.1547619047619047,42.0,661.0,250.0,0.1300251256281407,0.37821482602118
101061544,Young Surrounds,7677.0,0.1366419174156571,49.0,646.0,220.0,0.1238140417457305,0.3405572755417956
102011028,Avoca Beach - Copacabana,7513.0,0.1193930520431252,43.0,915.0,520.0,0.2207468879668049,0.5683060109289617
102011029,Box Head - MacMasters Beach,11042.0,0.1093099076254301,49.0,780.0,450.0,0.204252352736145,0.5769230769230769
102011030,Calga - Kulnura,4716.0,0.14715860899067,48.0,780.0,350.0,0.1934996220710506,0.4487179487179487
102011031,Erina - Green Point,14758.0,0.1155983195554953,50.0,692.0,410.0,0.1956420955030134,0.5924855491329479
102011032,Gosford - Springfield,21204.0,0.2357102433503112,39.0,796.0,390.0,0.2874424944624297,0.4899497487437186
102011033,Kariong,6485.0,0.1787201233616037,36.0,850.0,450.0,0.2071770334928229,0.5294117647058824
102011034,Kincumber - Picketts Valley,7615.0,0.1377544320420223,47.0,691.0,400.0,0.1985748218527316,0.5788712011577424
102011035,Narara,7157.0,0.1711611010199804,39.0,814.0,420.0,0.2108317214700193,0.515970515970516
102011036,Niagara Park - Lisarow,8205.0,0.1622181596587446,40.0,798.0,425.0,0.2145135566188197,0.5325814536340853
102011037,Point Clare - Koolewong,6571.0,0.1349870643737635,46.0,765.0,400.0,0.2369007803790412,0.5228758169934641
102011038,Saratoga - Davistown,7160.0,0.1391061452513966,45.0,783.0,460.0,0.1987860394537177,0.5874840357598978
102011039,Terrigal - North Avoca,14849.0,0.1497070509798639,43.0,933.0,520.0,0.2277404921700223,0.5573419078242229
102011040,Umina - Booker Bay - Patonga,24697.0,0.1354820423533222,47.0,678.0,400.0,0.1772486772486772,0.5899705014749262
102011041,Wamberal - Forresters Beach,10675.0,0.1382669789227166,42.0,897.0,500.0,0.2150089338892197,0.5574136008918618
102011042,Woy Woy - Blackwall,14346.0,0.1538407918583577,47.0,642.0,380.0,0.199490662139219,0.5919003115264797
102011043,Wyoming,11423.0,0.1744725553707432,41.0,697.0,400.0,0.2078787878787878,0.5738880918220947
102021044,Bateau Bay - Killarney Vale,22825.0,0.167842278203724,41.0,719.0,400.0,0.1710468360005873,0.5563282336578581
102021045,Blue Haven - San Remo,11290.0,0.220726306465899,34.0,691.0,400.0,0.1707751707751707,0.5788712011577424
102021046,Budgewoi - Buff Point - Halekulani,9728.0,0.1641652960526315,45.0,639.0,360.0,0.1803723816912335,0.5633802816901409
102021047,Chittaway Bay - Tumbi Umbi,16006.0,0.1792452830188679,40.0,787.0,425.0,0.2042669087607807,0.5400254129606099
102021048,Gorokan - Kanwal - Charmhaven,22362.0,0.1845988730882747,42.0,625.0,360.0,0.1781910666030837,0.576
102021049,Jilliby - Yarramalong,3420.0,0.137719298245614,44.0,861.0,440.0,0.229951690821256,0.5110336817653891
102021050,Lake Munmorah - Mannering Park,10960.0,0.1372262773722627,52.0,594.0,380.0,0.1703531237873496,0.6397306397306397
102021051,Ourimbah - Fountaindale,4928.0,0.1773538961038961,40.0,835.0,400.0,0.2509986684420772,0.4790419161676646
102021052,Summerland Point - Gwandalan,6492.0,0.1555760936537276,45.0,669.0,395.0,0.1721262656343061,0.5904334828101644
102021053,The Entrance,15839.0,0.1587221415493402,48.0,662.0,365.0,0.1983743967487935,0.5513595166163142
102021054,Toukley - Norah Head,9909.0,0.158340902210112,47.0,639.0,350.0,0.1838440111420612,0.5477308294209703
102021055,Tuggerah - Kangy Angy,5229.0,0.1912411550965767,38.0,784.0,425.0,0.2210460772104607,0.5420918367346939
102021056,Warnervale - Wadalba,20051.0,0.1812877163233754,35.0,790.0,495.0,0.1748466257668711,0.6265822784810127
102021057,Wyong,9120.0,0.1889254385964912,40.0,624.0,360.0,0.1976313841598815,0.5769230769230769
103011059,Bathurst - East,12330.0,0.1780210867802108,36.0,799.0,360.0,0.1724987678659438,0.4505632040050062
103011060,Bathurst Surrounds,6909.0,0.1237516283108988,47.0,824.0,273.0,0.1347619047619047,0.3313106796116505
103011060,Bathurst Surrounds,6909.0,0.1237516283108988,47.0,824.0,273.0,0.1347619047619047,0.3313106796116505
103011061,Oberon,4834.0,0.1470831609433181,48.0,735.0,280.0,0.1065128900949796,0.3809523809523809
103011612,Bathurst - South,10752.0,0.2690662202380952,39.0,704.0,295.0,0.2805327288183621,0.4190340909090909
103011613,Bathurst - West,14313.0,0.1884999650667225,37.0,875.0,350.0,0.1888988361683079,0.4
103021062,Condobolin,6372.0,0.1580351537978656,41.0,645.0,180.0,0.0954011741682974,0.2790697674418604
103021062,Condobolin,6372.0,0.1580351537978656,41.0,645.0,180.0,0.0954011741682974,0.2790697674418604
103021063,Cowra,9273.0,0.1598188288579747,45.0,607.0,230.0,0.1315057608263806,0.3789126853377265
