sa2_code,total_pop,pct_youth_18_34,median_age,median_weekly_income,median_weekly_rent,pct_students,rent_to_income_ratio
101021007,4343,11.30554915956712,51,760,330,15.49053356282272,0.4342105263157895
101021008,8517,20.899377715157918,38,975,350,20.796100731112915,0.358974358974359
101021009,11342,26.952918356550875,37,996,330,29.775280898876403,0.3313253012048193
101021010,5085,28.23992133726647,36,1104,310,31.660516605166052,0.2807971014492754
101021012,12744,17.459196484620215,37,1357,430,24.14974308783949,0.3168754605747974
101021610,6224,24.534061696658096,31,1629,531,20.25800286669852,0.3259668508287293
101021611,16539,14.777193300683233,42,1243,465,20.04754358161648,0.37409493161705554
101031013,2454,13.773431132844335,49,704,200,10.830860534124628,0.2840909090909091
101031014,6761,17.541783759798847,44,771,290,17.479253112033195,0.3761348897535668
101031015,3472,12.12557603686636,50,794,290,11.892450879007239,0.36523929471032746
101031016,8035,23.397635345364034,38,912,380,20.06472491909385,0.4166666666666667
101041017,8581,12.562638387134367,51,596,330,14.494117647058824,0.5536912751677853
101041018,8938,11.266502573282613,54,638,350,14.871306005719733,0.54858934169279
101041019,8872,13.830027051397655,46,704,320,15.112016293279023,0.45454545454545453
101041020,9557,11.698231662655646,51,603,265,13.801551653736219,0.439469320066335
101041021,3792,10.94409282700422,52,738,360,17.331932773109244,0.4878048780487805
101041022,43,0.0,59,462,0,62.5,0.0
101041023,3425,11.299270072992702,53,573,270,11.67964404894327,0.4712041884816754
101041024,3525,11.602836879432624,53,639,300,13.681868743047831,0.4694835680751174
101041025,11513,11.838790931989925,54,679,340,16.108704214257582,0.5007363770250368
101041026,8600,10.80232558139535,56,612,310,13.859480269489895,0.5065359477124183
101041027,9888,9.324433656957929,59,579,290,12.38051888939463,0.5008635578583766
101051539,24565,19.57256258904946,40,749,320,17.898723523635855,0.4272363150867824
101051540,13839,12.544258978249873,48,735,300,14.518246258860593,0.40816326530612246
101061541,6763,15.895312731036523,42,867,340,17.55567063697566,0.39215686274509803
101061542,12713,12.672067961928734,43,1129,400,19.164802386278897,0.354295837023915
101061543,11004,15.476190476190476,42,661,250,13.00251256281407,0.37821482602118
101061544,7677,13.664191741565716,49,646,220,12.381404174573055,0.34055727554179566
102011028,7513,11.939305204312525,43,915,520,22.074688796680498,0.5683060109289617
102011029,11042,10.930990762543017,49,780,450,20.4252352736145,0.5769230769230769
102011030,4716,14.715860899067007,48,780,350,19.349962207105065,0.44871794871794873
102011031,14758,11.559831955549532,50,692,410,19.564209550301346,0.5924855491329479
102011032,21204,23.571024335031126,39,796,390,28.74424944624297,0.4899497487437186
102011033,6485,17.87201233616037,36,850,450,20.717703349282296,0.5294117647058824
102011034,7615,13.775443204202233,47,691,400,19.85748218527316,0.5788712011577424
102011035,7157,17.116110101998043,39,814,420,21.083172147001935,0.515970515970516
102011036,8205,16.221815965874466,40,798,425,21.451355661881976,0.5325814536340853
102011037,6571,13.49870643737635,46,765,400,23.690078037904126,0.5228758169934641
102011038,7160,13.910614525139664,45,783,460,19.878603945371776,0.5874840357598978
102011039,14849,14.970705097986396,43,933,520,22.774049217002236,0.5573419078242229
102011040,24697,13.548204235332227,47,678,400,17.724867724867725,0.5899705014749262
102011041,10675,13.826697892271662,42,897,500,21.500893388921977,0.5574136008918618
102011042,14346,15.384079185835773,47,642,380,19.949066213921903,0.5919003115264797
102011043,11423,17.447255537074323,41,697,400,20.78787878787879,0.5738880918220947
102021044,22825,16.784227820372397,41,719,400,17.104683600058728,0.5563282336578581
102021045,11290,22.072630646589904,34,691,400,17.07751707751708,0.5788712011577424
102021046,9728,16.416529605263158,45,639,360,18.037238169123352,0.5633802816901409
102021047,16006,17.92452830188679,40,787,425,20.426690876078077,0.5400254129606099
102021048,22362,18.459887308827476,42,625,360,17.81910666030838,0.576
102021049,3420,13.771929824561404,44,861,440,22.995169082125603,0.5110336817653891
102021050,10960,13.722627737226277,52,594,380,17.035312378734965,0.6397306397306397
102021051,4928,17.73538961038961,40,835,400,25.099866844207725,0.47904191616766467
102021052,6492,15.557609365372766,45,669,395,17.212626563430614,0.5904334828101644
102021053,15839,15.872214154934024,48,662,365,19.83743967487935,0.5513595166163142
102021054,9909,15.834090221011202,47,639,350,18.384401114206128,0.5477308294209703
102021055,5229,19.124115509657678,38,784,425,22.104607721046076,0.5420918367346939
102021056,20051,18.12877163233754,35,790,495,17.484662576687118,0.6265822784810127
102021057,9120,18.892543859649123,40,624,360,19.763138415988156,0.5769230769230769
103011059,12330,17.802108678021085,36,799,360,17.24987678659438,0.45056320400500627
103011060,6909,12.375162831089883,47,824,273,13.476190476190476,0.3313106796116505
103011061,4834,14.708316094331817,48,735,280,10.651289009497965,0.38095238095238093
103011612,10752,26.906622023809526,39,704,295,28.053272881836214,0.4190340909090909
103011613,14313,18.849996506672255,37,875,350,18.889883616830797,0.4
103021062,6372,15.803515379786566,41,645,180,9.540117416829746,0.27906976744186046
103021063,9273,15.981882885797477,45,607,230,13.15057608263806,0.37891268533772654
103021064,5716,12.963610916724983,50,601,210,11.068943706514863,0.34941763727121466
103021065,10020,15.788423153692614,43,714,230,12.594541269319302,0.32212885154061627
103021066,3597,11.370586599944398,52,575,198,13.08108108108108,0.3443478260869565
103021067,10919,18.0144701895778,39,728,260,13.972689742775485,0.35714285714285715
103021068,3262,12.998160637645617,45,623,180,9.3812375249501,0.28892455858747995
103021069,5525,14.968325791855204,43,730,200,11.95046439628483,0.273972602739726
103031070,12385,16.91562373839322,46,610,270,15.319521447330025,0.4426229508196721
