Year,Year ending,Police Service Area,Local Government Area,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2025,March,Ballarat,Ballarat,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,8,6.1,6.5
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,237,179.8,191.4
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,173,131.2,139.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",98,74.3,79.1
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,355,269.2,286.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,259,196.4,209.2
2025,March,Ballarat,Ballarat,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,341,258.6,275.4
2025,March,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,7,5.3,5.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,9,6.8,7.3
2025,March,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,44,33.4,35.5
2025,March,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2,1.5,1.6
2025,March,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,7,5.3,5.7
2025,March,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,2,1.5,1.6
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,38,28.8,30.7
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,25,19.0,20.2
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,43,32.6,34.7
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,16,12.1,12.9
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,87,66.0,70.3
2025,March,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,58,44.0,46.8
2025,March,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,129,97.8,104.2
2025,March,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,23,17.4,18.6
2025,March,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,91,69.0,73.5
2025,March,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B11 Cause damage by fire,122,92.5,98.5
2025,March,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B19 Other fire related offences,21,15.9,17.0
2025,March,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B21 Criminal damage,"1,043",791.1,842.3
2025,March,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B22 Graffiti,109,82.7,88.0
2025,March,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B29 Other property damage offences,7,5.3,5.7
2025,March,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,161,122.1,130.0
2025,March,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4,3.0,3.2
2025,March,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.8,0.8
2025,March,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,444,336.7,358.6
2025,March,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,434,329.2,350.5
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,712,540.0,575.0
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"1,564","1,186.2","1,263.1"
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"1,007",763.7,813.3
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,67,50.8,54.1
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,376,285.2,303.7
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B46 Fare evasion,1,0.8,0.8
2025,March,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B49 Other theft,"1,114",844.9,899.7
2025,March,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,90,68.3,72.7
2025,March,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,414,314.0,334.4
2025,March,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B54 State false information,7,5.3,5.7
2025,March,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1,0.8,0.8
2025,March,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B59 Other deception offences,1,0.8,0.8
2025,March,Ballarat,Ballarat,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,1,0.8,0.8
2025,March,Ballarat,Ballarat,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,34,25.8,27.5
2025,March,Ballarat,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,8,6.1,6.5
2025,March,Ballarat,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,23,17.4,18.6
2025,March,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.8,0.8
2025,March,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C32 Drug possession,409,310.2,330.3
2025,March,Ballarat,Ballarat,C Drug offences,C90 Other drug offences,C99 Other drug offences,1,0.8,0.8
2025,March,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,206,156.2,166.4
2025,March,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,228,172.9,184.1
2025,March,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,3.0,3.2
2025,March,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,22,16.7,17.8
2025,March,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,42,31.9,33.9
2025,March,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,1.5,1.6
2025,March,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,17,12.9,13.7
2025,March,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,7,5.3,5.7
2025,March,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,2,1.5,1.6
2025,March,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,16,12.1,12.9
2025,March,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D33 Begging,1,0.8,0.8
2025,March,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,81,61.4,65.4
2025,March,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,2,1.5,1.6
2025,March,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,358,271.5,289.1
2025,March,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,12,9.1,9.7
2025,March,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,12,9.1,9.7
2025,March,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,88,66.7,71.1
2025,March,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,"1,734","1,315.1","1,400.4"
2025,March,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,105,79.6,84.8
2025,March,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,309,234.4,249.6
2025,March,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,51,38.7,41.2
2025,March,Ballarat,Ballarat,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences,1,0.8,0.8
2025,March,Ballarat,Ballarat,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences,1,0.8,0.8
2025,March,Ballarat,Ballarat,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,19,14.4,15.3
2025,March,Ballarat,Ballarat,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,3,2.3,2.4
2025,March,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,2,1.5,1.6
2025,March,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,3,2.3,2.4
2025,March,Ballarat,Pyrenees,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,10,7.6,124.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,9,6.8,112.1
2025,March,Ballarat,Pyrenees,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",1,0.8,12.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,12,9.1,149.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,10,7.6,124.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,15,11.4,186.8
2025,March,Ballarat,Pyrenees,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1,0.8,12.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,2,1.5,24.9
2025,March,Ballarat,Pyrenees,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,0.8,12.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,0.8,12.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,0.8,12.5
2025,March,Ballarat,Pyrenees,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,1.5,24.9
2025,March,Ballarat,Pyrenees,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,2.3,37.4
2025,March,Ballarat,Pyrenees,B Property and deception offences,B10 Arson,B11 Cause damage by fire,3,2.3,37.4
2025,March,Ballarat,Pyrenees,B Property and deception offences,B10 Arson,B19 Other fire related offences,6,4.6,74.7
2025,March,Ballarat,Pyrenees,B Property and deception offences,B20 Property damage,B21 Criminal damage,42,31.9,523.1
2025,March,Ballarat,Pyrenees,B Property and deception offences,B20 Property damage,B22 Graffiti,1,0.8,12.5
2025,March,Ballarat,Pyrenees,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,3,2.3,37.4
2025,March,Ballarat,Pyrenees,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,30,22.8,373.6
2025,March,Ballarat,Pyrenees,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,33,25.0,411.0
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,36,27.3,448.4
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,51,38.7,635.2
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B43 Steal from a retail store,13,9.9,161.9
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2,1.5,24.9
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,4,3.0,49.8
2025,March,Ballarat,Pyrenees,B Property and deception offences,B40 Theft,B49 Other theft,67,50.8,834.5
2025,March,Ballarat,Pyrenees,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,7,5.3,87.2
2025,March,Ballarat,Pyrenees,B Property and deception offences,B50 Deception,B54 State false information,1,0.8,12.5
2025,March,Ballarat,Pyrenees,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,1,0.8,12.5
2025,March,Ballarat,Pyrenees,C Drug offences,C30 Drug use and possession,C32 Drug possession,6,4.6,74.7
2025,March,Ballarat,Pyrenees,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,5,3.8,62.3
2025,March,Ballarat,Pyrenees,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,4,3.0,49.8
2025,March,Ballarat,Pyrenees,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,0.8,12.5
2025,March,Ballarat,Pyrenees,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,0.8,12.5
2025,March,Ballarat,Pyrenees,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,4,3.0,49.8
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,6,4.6,74.7
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,1,0.8,12.5
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,76,57.6,946.6
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,4,3.0,49.8
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,1,0.8,12.5
2025,March,Ballarat,Pyrenees,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,2,1.5,24.9
2025,March,Ballarat,Pyrenees,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,0.8,12.5
2025,March,Ballarat,Pyrenees,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,2,1.5,24.9
2025,March,Ballarat,Pyrenees,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,1,0.8,12.5
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,4,2.0,3.0
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,133,67.6,100.0
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,125,63.5,94.0
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",58,29.5,43.6
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,182,92.5,136.9
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,237,120.4,178.3
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,158,80.3,118.8
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,2,1.0,1.5
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,9,4.6,6.8
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,60,30.5,45.1
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,8,4.1,6.0
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,7,3.6,5.3
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,3,1.5,2.3
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,23,11.7,17.3
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,31,15.7,23.3
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,28,14.2,21.1
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,25,12.7,18.8
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,59,30.0,44.4
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,61,31.0,45.9
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,32,16.3,24.1
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,2,1.0,1.5
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,28,14.2,21.1
2025,March,Banyule-Nillumbik,Banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,28,14.2,21.1
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B10 Arson,B11 Cause damage by fire,18,9.1,13.5
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B10 Arson,B19 Other fire related offences,10,5.1,7.5
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B20 Property damage,B21 Criminal damage,697,354.1,524.3
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B20 Property damage,B22 Graffiti,112,56.9,84.2
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B20 Property damage,B29 Other property damage offences,16,8.1,12.0
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,191,97.0,143.7
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,10,5.1,7.5
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,507,257.5,381.4
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,242,122.9,182.0
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,485,246.4,364.8
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"1,522",773.1,"1,144.8"
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B43 Steal from a retail store,775,393.7,583.0
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,67,34.0,50.4
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,512,260.1,385.1
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B40 Theft,B49 Other theft,842,427.7,633.4
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,66,33.5,49.6
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,373,189.5,280.6
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B54 State false information,10,5.1,7.5
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B55 Deceptive business practices,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,B Property and deception offences,B50 Deception,B59 Other deception offences,15,7.6,11.3
2025,March,Banyule-Nillumbik,Banyule,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,61,31.0,45.9
2025,March,Banyule-Nillumbik,Banyule,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,15,7.6,11.3
2025,March,Banyule-Nillumbik,Banyule,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,49,24.9,36.9
2025,March,Banyule-Nillumbik,Banyule,C Drug offences,C30 Drug use and possession,C31 Drug use,3,1.5,2.3
2025,March,Banyule-Nillumbik,Banyule,C Drug offences,C30 Drug use and possession,C32 Drug possession,503,255.5,378.4
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,54,27.4,40.6
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,196,99.6,147.4
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,23,11.7,17.3
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,19,9.7,14.3
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,43,21.8,32.3
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,6,3.0,4.5
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D30 Public nuisance offences,D33 Begging,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,91,46.2,68.5
2025,March,Banyule-Nillumbik,Banyule,D Public order and security offences,D40 Public security offences,D43 Hacking,2,1.0,1.5
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,2,1.0,1.5
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,154,78.2,115.8
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,6,3.0,4.5
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,9,4.6,6.8
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,14,7.1,10.5
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,811,412.0,610.0
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,99,50.3,74.5
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,654,332.2,491.9
2025,March,Banyule-Nillumbik,Banyule,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,80,40.6,60.2
2025,March,Banyule-Nillumbik,Banyule,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,1,0.5,0.8
2025,March,Banyule-Nillumbik,Banyule,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,4,2.0,3.0
2025,March,Banyule-Nillumbik,Banyule,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences,1,0.5,0.8
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.0,3.1
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,27,13.7,42.2
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,32,16.3,50.1
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",14,7.1,21.9
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,75,38.1,117.3
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,60,30.5,93.9
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,40,20.3,62.6
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,1,0.5,1.6
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,15,7.6,23.5
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,6,3.0,9.4
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,1,0.5,1.6
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,9,4.6,14.1
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,5,2.5,7.8
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,12,6.1,18.8
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,10,5.1,15.6
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,17,8.6,26.6
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,14,7.1,21.9
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,2.0,6.3
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,15,7.6,23.5
2025,March,Banyule-Nillumbik,Nillumbik,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,9,4.6,14.1
2025,March,Banyule-Nillumbik,Nillumbik,B Property and deception offences,B10 Arson,B11 Cause damage by fire,14,7.1,21.9
